tank,date,dispersal,wattage,metacommunity,temp_mean,temp_max,temp_sd,temp_min,dispersal_date
19,2018-06-17,low,300,5,24.94847222222222,28.61,2.564043823045099,21.32,NA
20,2018-06-17,low,200,5,22.766180555555554,24.97,1.4663417190756682,20.68,NA
21,2018-06-17,high,100,6,23.842291666666668,27.63,2.6973249423096197,19.99,NA
22,2018-06-17,high,200,6,24.346944444444443,28.14,2.576838274590684,20.8,NA
23,2018-06-17,high,0,6,22.46388888888889,26.12,2.4446648378430456,18.96,NA
24,2018-06-17,high,300,6,25.510347222222222,29.64,2.746504558740262,21.83,NA
25,2018-06-17,low,200,7,24.476041666666667,28.35,2.6631300840187264,20.85,NA
26,2018-06-17,low,300,7,25.392222222222223,29.38,2.746777754786149,21.62,NA
27,2018-06-17,low,100,7,24.182708333333334,28.1,2.735588868925703,20.2,NA
28,2018-06-17,low,0,7,22.940694444444443,26.81,2.6129365236477287,19,NA
29,2018-06-17,high,100,8,23.268472222222222,27.02,2.574042104253105,19.47,NA
30,2018-06-17,high,200,8,23.899166666666666,27.58,2.4873488287339587,20.42,NA
31,2018-06-17,high,0,8,21.816180555555555,24.66,1.9814189294959126,18.79,NA
32,2018-06-17,high,300,8,24.573402777777776,28.23,2.4264337303591046,21.32,NA
33,2018-06-17,none,0,9,20.97875,22.35,1.1341925904218526,18.96,NA
34,2018-06-17,none,100,9,22.53708333333333,25.99,2.2411394688597857,19.43,NA
35,2018-06-17,none,300,9,24.988680555555554,28.05,2.0622356144266045,22.01,NA
36,2018-06-17,none,200,9,24.15284722222222,27.88,2.488146911542564,20.8,NA
37,2018-06-17,high,200,10,24.58673611111111,28.48,2.609205283145801,20.93,NA
38,2018-06-17,high,300,10,25.204930555555556,29.08,2.643562439732817,21.62,NA
39,2018-06-17,high,100,10,23.70659722222222,27.58,2.6386689172416844,19.86,NA
40,2018-06-17,high,0,10,22.45895833333333,26.25,2.536919203916987,18.74,NA
41,2018-06-17,none,0,11,21.31861111111111,24.58,2.1271280125966987,18.27,NA
42,2018-06-17,none,100,11,22.462083333333332,26.12,2.419410398903352,19.13,NA
43,2018-06-17,none,300,11,24.82986111111111,28.57,2.4651271222447604,21.53,NA
44,2018-06-17,none,200,11,23.841875,28.01,2.7556959368104894,20.07,NA
45,2018-06-17,low,100,12,23.38375,26.9,2.4427122593171275,19.82,NA
46,2018-06-17,low,200,12,23.885208333333335,27.71,2.5567888428775145,20.37,NA
47,2018-06-17,low,0,12,22.85902777777778,26.64,2.593999347457054,19,NA
48,2018-06-17,low,300,12,25.055416666666666,29.17,2.7256191636350855,21.45,NA
1,2018-06-18,high,100,1,26.09986111111111,31.14,3.4214577897657033,21.45,NA
2,2018-06-18,high,200,1,26.460625,31.44,3.376723536863151,21.92,NA
3,2018-06-18,high,0,1,25.001319444444444,29.73,3.061212622869648,20.89,NA
4,2018-06-18,high,300,1,27.49375,32.52,3.387062153986112,22.95,NA
5,2018-06-18,none,200,2,26.948055555555555,31.74,3.347637780611682,22.48,NA
6,2018-06-18,none,300,2,27.423472222222223,32.22,3.303899649554735,22.99,NA
7,2018-06-18,none,100,2,26.1425,31.01,3.2726293400265782,21.7,NA
8,2018-06-18,none,0,2,24.948680555555555,29.64,3.083204727835169,20.72,NA
9,2018-06-18,low,0,3,24.582083333333333,29.38,3.0850065736462464,20.37,NA
10,2018-06-18,low,100,3,25.528819444444444,30.07,3.1178025919125707,21.36,NA
